OBJECTID,Damage,City,Zip_Code,CAL_FIRE_Unit,County,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Latitude,Longitude,Zip_Code_Prefix,Year_Built_Known,Incident_Start_Year,Incident_Start_Month,Incident_Start_Month_Name,Incident_Start_Weekday,Assessed_Improved_Value_Known,Damage_Binary
16050,No Damage,Napa,94558,LNU,Napa,2020-08-16,Unknown,Mixed Commercial/Residential,Mixed Commercial/Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1979,38.4705948321606,-122.234926081985,945,1,2020,8,August,Sunday,1,0
30067,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,94601.0,1976,39.793836940306,-121.576899238006,959,1,2018,11,November,Thursday,1,1
81566,No Damage,South Lake Tahoe,96150,AEU,El Dorado,2021-08-14,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,No Deck/Porch,Wood,Combustible,Combustible,Unknown,>=50,555000.0,1961,38.8257994497992,-120.021582367024,961,0,2021,8,August,Saturday,1,0
3366,Destroyed (>50%),Unknown,Unknown,BTU,Butte,2020-09-09,Unknown,Motor Home,Single Residence,0.0,Metal,Unknown,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,0.0,1961,39.6845030739479,-121.452678423651,Unknown,0,2020,9,September,Wednesday,1,1
38741,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Metal,No Eaves,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,14607.0,1969,39.7486799134763,-121.596224018282,959,1,2018,11,November,Thursday,1,1
37668,Destroyed (>50%),Magalia,95954,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Combustible,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,Non Combustible,11-20,Unknown,137277.0,1979,39.8183866170979,-121.606572926562,959,1,2018,11,November,Thursday,1,1
106715,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,<=30,50776.0,1948,34.2010582,-118.1462081,910,1,2025,1,January,Tuesday,1,1
110734,No Damage,Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,20.0,Asphalt,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,0.0,2015,34.1839779,-118.1338154,910,1,2025,1,January,Tuesday,1,0
55958,No Damage,Unincorporated,95928,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,14026.0,1900,39.7490639736258,-121.670310576182,959,1,2018,11,November,Thursday,1,0
19654,No Damage,Napa,94558,LNU,Napa,2020-08-16,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,Unknown,Unknown,No Fence,Unknown,Unknown,129322.0,1988,38.6071663008362,-122.277006769442,945,1,2020,8,August,Sunday,1,0
43507,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Metal,Enclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,Wood,No Deck/Porch,Non Combustible,No Fence,0-10,Unknown,0.0,1974,39.7755834362527,-121.594489778405,959,1,2018,11,November,Thursday,1,1
30163,Destroyed (>50%),Magalia,95954,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,Unknown,Combustible,Single Pane,No Deck/Porch,Wood,Combustible,Non Combustible,11-20,Unknown,120000.0,1978,39.8029652272664,-121.599145591114,959,1,2018,11,November,Thursday,1,1
102060,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Tile,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Masonry/Concrete,Unknown,Unknown,Unknown,Unknown,268416.0,1926,34.2029678,-118.131348,910,1,2025,1,January,Tuesday,1,1
31777,Destroyed (>50%),Magalia,95954,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,11-20,<=30,75637.0,1978,39.817494072491,-121.596832698752,959,1,2018,11,November,Thursday,1,1
